Timepoints,Liver signal - vol 3 visit 2,AIF
40064.355,416.68,207.131
40066.533,414.351,211.832
40068.712,415.855,208.549
40070.893,413.824,207.293
40073.07,417.577,206.913
40075.25,415.755,205.226
40077.43,417.671,210.207
40082.783,413.96,237.166
40084.962,417.229,189.813
40087.14,419.237,210.074
40089.32,419.02,202.225
40091.497,422.035,203.425
40093.678,419.167,206.936
40095.857,420.143,192.118
40098.035,409.579,203.469
40100.215,417.852,202.211
40102.395,420.95,212.496
40104.572,418.201,202.522
40106.753,420.313,203.189
40108.932,410.86,198.634
40111.11,418.203,198.923
40113.29,422.336,223.462
40115.467,418.908,210.2
40117.648,418.91,211.807
40119.827,414.887,215.053
40122.005,420.145,207.307
40124.185,413.341,203.835
40126.365,416.503,202.726
40128.542,413.939,195.468
40130.723,417.412,201.901
40132.902,418.797,210.491
40135.08,413.999,202.826
40137.26,420.029,202.287
40139.438,411.845,204.782
40141.617,422.895,213.785
40143.798,413.761,211.46
40145.975,423.144,197.289
40148.155,416.176,209.461
40150.335,419.348,209.345
40152.512,422.219,206.671
40154.693,417.367,201.626
40156.87,417.877,202.408
40159.05,410.451,208.836
40161.23,418.864,205.393
40163.408,422.559,208.833
40165.587,420.633,211.167
40167.768,421.16,201.17
40169.945,418.541,207.47
40172.125,423.703,210.107
40174.305,414.602,215.92
40176.482,420.298,199.415
40178.663,413.897,204.384
40180.84,417.032,193.884
40183.02,407.432,203.648
40185.2,417.367,193.28
40187.378,411.15,199.868
40189.557,420.114,206.941
40191.738,422.899,203.529
40193.915,416.636,206.349
40196.095,419.953,201.009
40198.273,410.945,207.879
40200.452,420.901,202.077
40202.633,417.688,204.22
40204.81,417.775,214.857
40206.99,419.602,196.034
40209.17,417.147,209.063
40211.348,421.409,207.937
40213.527,418.664,200.773
40215.708,420.029,204.973
40217.885,411.038,202.829
40220.065,416.187,205.018
40222.242,420.346,208.347
40224.423,417.989,197.043
40226.602,421.043,206.828
40228.78,415.87,214.462
40230.96,419.053,203.595
40233.14,412.734,200.989
40235.318,417.539,199.111
40237.497,422.156,208.459
40239.675,417.66,202.152
40241.855,422.162,204.225
40244.035,412.324,210.232
40246.212,417.317,198.785
40248.393,422.544,205.192
40250.572,418.555,203.644
40252.75,421.59,205.344
40254.93,413.442,213.015
40257.11,417.596,195.815
40259.288,412.824,205.243
40261.467,420.357,204.832
40263.645,409.556,202.415
40265.825,419.844,202.766
40268.005,416.683,198.657
40270.182,420.4,198.414
40272.363,417.94,205.793
40274.542,418.783,204.777
40276.72,423.503,205.175
40278.9,414.743,206.343
40281.077,421.115,205.752
40283.258,408.579,209.831
40285.438,416.895,198.457
40287.615,420.442,197.634
40289.795,414.499,207.929
40291.975,420.273,203.911
40294.152,415.124,203.588
40296.333,421.295,203.589
40298.512,413.815,214.025
40300.69,417.062,202.157
40302.87,422.686,199.877
40305.048,412.618,209.531
40307.227,420.379,204.603
40309.408,422.127,206.602
40311.585,418.499,195.504
40313.765,421.201,196.604
40315.945,414.369,210.745
40318.122,417.843,207.424
40320.303,420.845,202.428
40322.48,414.421,208.835
40324.66,420.691,204.158
40326.84,418.113,209.584
40329.018,422.443,203.057
40331.197,419.587,200.202
40333.378,418.801,200.071
40335.555,420.681,202.109
40337.735,413.595,208.263
40339.915,421.21,211.836
40342.092,420.192,199.225
40344.273,416.861,206.156
40346.45,420.315,206.533
40348.63,423.843,199.371
40350.81,413.913,201.855
40352.988,417.876,203.846
40355.167,419.925,203.623
40357.348,418.18,198.964
40359.525,422.899,203.541
40361.705,414.953,201.455
40363.883,419.996,196.661
40366.062,421.733,197.547
40368.242,415.404,203.686
40370.42,419.683,202.258
40372.6,418.433,201.922
40374.78,417.384,195.781
40376.958,422.392,199.491
40379.137,417.176,208.12
40381.318,420.74,204.868
40383.495,419.288,205.643
40385.675,423.196,205.405
40387.852,419.028,205.783
40390.033,423.496,204.019
40392.212,411.657,196.819
40394.39,418.627,204.378
40400.777,425.092,245.121
40402.955,419.301,199.473
40405.135,423.102,207.385
40407.315,416.573,204.58
40409.492,419.07,205.503
40411.673,421.175,213.446
40413.85,410.587,213.69
40416.03,417.966,210.025
40418.21,417.953,206.67
40420.387,414.844,205.906
40422.568,418.394,204.197
40424.747,416.317,215.586
40426.925,418.878,211.48
40429.105,407.551,200.61
40431.283,417.368,201.711
40433.462,422.816,210.27
40435.643,417.572,208.284
40437.82,418.563,207.491
40440,419.875,203.007
40442.18,416.152,202.397
40444.357,421.791,207.296
40446.538,421.174,206.591
40448.717,416.825,212.669
40450.895,420.171,203.7
40453.075,417.716,196.445
40455.253,419.596,208.8
40457.432,416.719,205.95
40459.613,422.059,205.732
40461.79,415.985,207.347
40463.97,419.129,203.87
40466.15,416.786,208.76
40468.327,419.807,203.67
40470.508,416.318,208.444
40472.685,419.946,204.834
40474.865,414.756,207.74
40477.045,419.665,199.852
40479.223,410.687,211.102
40481.402,419.215,204.317
